DocumentId,QueryId
1,13
101,13
100,13
99,13
98,13
97,13
96,13
95,13
94,13
93,13
92,13
91,13
90,13
89,13
88,13
102,13
87,13
85,13
84,13
83,13
82,13
81,13
80,13
79,13
78,13
77,13
76,13
75,13
74,13
73,13
72,13
86,13
103,13
104,13
105,13
136,13
135,13
134,13
133,13
132,13
131,13
130,13
129,13
128,13
127,13
126,13
125,13
124,13
123,13
122,13
121,13
120,13
106,13
107,13
108,13
109,13
110,13
111,13
71,13
112,13
114,13
115,13
116,13
117,13
118,13
119,13
113,13
70,13
69,13
68,13
32,13
31,13
30,13
29,13
28,13
27,13
26,13
25,13
24,13
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
2,13
3,13
4,13
5,13
6,13
7,13
33,13
8,13
10,13
11,13
12,13
13,13
14,13
15,13
9,13
137,13
34,13
36,13
67,13
66,13
65,13
64,13
63,13
62,13
61,13
60,13
59,13
58,13
57,13
56,13
55,13
54,13
53,13
52,13
51,13
37,13
38,13
39,13
40,13
41,13
42,13
35,13
43,13
45,13
46,13
47,13
48,13
49,13
50,13
44,13
138,13
139,28
206,28
205,28
204,28
203,28
202,28
201,28
200,28
199,28
198,28
197,28
196,28
195,28
194,28
193,28
192,28
191,28
190,28
189,28
188,28
207,28
208,28
209,28
210,28
230,28
229,28
228,28
227,28
226,28
225,28
224,28
223,28
222,28
187,28
221,28
219,28
218,28
217,28
216,28
215,28
214,28
213,28
212,28
211,28
220,28
186,28
185,28
184,28
159,28
158,28
157,28
156,28
155,28
154,28
153,28
152,28
151,28
160,28
150,28
148,28
147,28
146,28
145,28
144,28
143,28
142,28
141,28
140,28
149,28
231,28
161,28
163,28
183,28
182,28
181,28
180,28
179,28
178,28
177,28
176,28
175,28
162,28
174,28
172,28
171,28
170,28
169,28
168,28
167,28
166,28
165,28
164,28
173,28
232,28
233,43
294,43
293,43
292,43
291,43
290,43
289,43
288,43
287,43
286,43
285,43
284,43
283,43
282,43
281,43
280,43
279,43
278,43
295,43
296,43
297,43
298,43
316,43
315,43
314,43
313,43
312,43
311,43
310,43
309,43
277,43
308,43
306,43
305,43
304,43
303,43
302,43
301,43
300,43
299,43
307,43
276,43
275,43
274,43
251,43
250,43
249,43
248,43
247,43
246,43
245,43
244,43
252,43
243,43
241,43
240,43
239,43
238,43
237,43
236,43
235,43
234,43
242,43
317,43
253,43
255,43
273,43
272,43
271,43
270,43
269,43
268,43
267,43
266,43
254,43
265,43
263,43
262,43
261,43
260,43
259,43
258,43
257,43
256,43
264,43
318,43
319,58
414,58
415,58
416,58
417,58
418,58
419,58
413,58
420,58
422,58
423,58
424,58
425,58
426,58
427,58
421,58
412,58
411,58
410,58
395,58
396,58
397,58
398,58
399,58
400,58
401,58
402,58
403,58
404,58
405,58
406,58
407,58
408,58
409,58
428,58
394,58
429,58
431,58
451,58
452,58
453,58
454,58
455,58
456,58
450,58
457,58
459,58
460,58
461,58
462,58
463,58
464,58
458,58
449,58
448,58
447,58
432,58
433,58
434,58
435,58
436,58
437,58
438,58
439,58
440,58
441,58
442,58
443,58
444,58
445,58
446,58
430,58
393,58
392,58
391,58
339,58
340,58
341,58
342,58
343,58
344,58
338,58
345,58
347,58
348,58
349,58
350,58
351,58
352,58
346,58
337,58
336,58
335,58
320,58
321,58
322,58
323,58
324,58
325,58
326,58
327,58
328,58
329,58
330,58
331,58
332,58
333,58
334,58
353,58
354,58
355,58
356,58
376,58
377,58
378,58
379,58
380,58
381,58
382,58
383,58
384,58
385,58
386,58
387,58
388,58
389,58
390,58
375,58
465,58
374,58
372,58
357,58
358,58
359,58
360,58
361,58
362,58
363,58
364,58
365,58
366,58
367,58
368,58
369,58
370,58
371,58
373,58
466,58
467,73
556,73
555,73
554,73
553,73
552,73
551,73
550,73
549,73
548,73
547,73
546,73
545,73
544,73
543,73
542,73
541,73
540,73
539,73
538,73
537,73
536,73
535,73
534,73
533,73
532,73
531,73
530,73
557,73
529,73
558,73
560,73
587,73
586,73
585,73
584,73
583,73
582,73
581,73
580,73
579,73
578,73
577,73
576,73
575,73
574,73
573,73
572,73
571,73
570,73
569,73
568,73
567,73
566,73
565,73
564,73
563,73
562,73
561,73
559,73
588,73
528,73
526,73
494,73
493,73
492,73
491,73
490,73
489,73
488,73
487,73
486,73
485,73
484,73
483,73
482,73
481,73
480,73
479,73
478,73
477,73
476,73
475,73
474,73
473,73
472,73
471,73
470,73
469,73
468,73
495,73
527,73
496,73
498,73
525,73
524,73
523,73
522,73
521,73
520,73
519,73
518,73
517,73
516,73
515,73
514,73
513,73
512,73
511,73
510,73
509,73
508,73
507,73
506,73
505,73
504,73
503,73
502,73
501,73
500,73
499,73
497,73
589,73
590,88
697,88
698,88
699,88
700,88
701,88
702,88
703,88
704,88
705,88
706,88
707,88
708,88
709,88
710,88
711,88
712,88
713,88
696,88
714,88
695,88
693,88
676,88
677,88
678,88
679,88
680,88
681,88
682,88
683,88
684,88
685,88
686,88
687,88
688,88
689,88
690,88
691,88
692,88
694,88
675,88
715,88
717,88
739,88
740,88
741,88
742,88
743,88
744,88
745,88
746,88
747,88
748,88
749,88
750,88
751,88
752,88
753,88
754,88
755,88
738,88
716,88
737,88
735,88
718,88
719,88
720,88
721,88
722,88
723,88
724,88
725,88
726,88
727,88
728,88
729,88
730,88
731,88
732,88
733,88
734,88
736,88
674,88
673,88
672,88
612,88
613,88
614,88
615,88
616,88
617,88
618,88
619,88
620,88
621,88
622,88
623,88
624,88
625,88
626,88
627,88
628,88
611,88
629,88
610,88
608,88
591,88
592,88
593,88
594,88
595,88
596,88
597,88
598,88
599,88
600,88
601,88
602,88
603,88
604,88
605,88
606,88
607,88
609,88
630,88
631,88
632,88
655,88
656,88
657,88
658,88
659,88
660,88
661,88
662,88
663,88
664,88
665,88
666,88
667,88
668,88
669,88
670,88
671,88
654,88
653,88
652,88
651,88
633,88
634,88
635,88
636,88
637,88
638,88
639,88
640,88
756,88
641,88
643,88
644,88
645,88
646,88
647,88
648,88
649,88
650,88
642,88
757,88
758,103
845,103
844,103
843,103
842,103
841,103
840,103
839,103
838,103
